class_label,LHS,RHS
non-phishing,Pine.LNX.4.44.0209091024360.1695-100000,localhost.localdomain
non-phishing,200210050800.g9580VK02525,dogma.slashnull.org
non-phishing,200209131912.MAA16027,maltesecat
non-phishing,p05111a02b99db4580a56,[66.149.49.6]
non-phishing,200209252240.PAA24122,maltesecat
non-phishing,E17wvEd-0004eI-01,cpu59.osdn.com
non-phishing,p05111a24b9aeb0c98aee,[66.149.49.6]
non-phishing,200210010801.g9181MK15605,dogma.slashnull.org
non-phishing,200210100804.g9A848K14136,dogma.slashnull.org
non-phishing,200209021718.NAA12734,blackcomb.panasas.com
non-phishing,Pine.LNX.4.33.0209112020050.24146-100000,hydrogen.leitl.org
non-phishing,E17ysOx-00048e-00,rhenium.btinternet.com
non-phishing,JHEPKCEMGPKFFDHHDDKDKELKFGAA.bill,wstoddard.com
non-phishing,1032700747.1536.5.camel,phoebe.mandris.com
non-phishing,200210030801.g93813K19971,dogma.slashnull.org
non-phishing,3DA338C1.1072D5E7,eecs.berkeley.edu
non-phishing,5.0.2.1.2.20021001100532.02f0b398,brain-stream.com
non-phishing,5.1.1.6.0.20021007151925.01759548,sancho2.rocinante.com
non-phishing,Pine.BSF.4.21.0209111343220.53629-100000,wow.atlasta.net
non-phishing,200210050800.g9580tK02600,dogma.slashnull.org
non-phishing,p05111a0cb9a24e159476,[66.149.49.6]
non-phishing,200210010800.g9180WK15347,dogma.slashnull.org
non-phishing,JHEPKCEMGPKFFDHHDDKDGEOJFGAA.bill,wstoddard.com
non-phishing,200210020803.g92830K31815,dogma.slashnull.org
non-phishing,200209081619.34777,malte.stretz.eu.org
non-phishing,17214982834.20021001221610,magnesium.net
non-phishing,200209191951.MAA18640,maltesecat
non-phishing,p05111a5bb9ae46820c6e,[66.149.49.6]
non-phishing,Pine.LNX.4.44.0209060421080.13901-100000,isolnetsux.techmonkeys.net
non-phishing,1030372165.11396.TMDA,deepeddy.vircio.com
non-phishing,1030580111.1388.2.camel,localhost.localdomain
non-phishing,F91ymQ1WE9ql2RkeS8Y000002a8,hotmail.com
non-phishing,Pine.LNX.4.33.0209091524050.32400-100000,hydrogen.leitl.org
non-phishing,200209261529.g8QFTVg24692,dogma.slashnull.org
non-phishing,20020901.v8t.39317700,www.dudex.net
non-phishing,E17r7cf-0002tk-01,cpu59.osdn.com
non-phishing,200209261529.g8QFTJg24644,dogma.slashnull.org
non-phishing,20020822182322.64D053F25,milou.dyndns.org
non-phishing,200208222107.g7ML75ue008106,mail.infinetivity.com
non-phishing,20020822205834.D7039C44E,argote.ch
non-phishing,m2bs7apnry.fsf,maya.dyndns.org
non-phishing,20021007183629.40ab9860.matthias,rpmforge.net
non-phishing,Pine.LNX.4.33.0209052030090.23284-100000,watcher.mithral.com
non-phishing,E17lK0a-0006gd-00,cpu59.osdn.com
non-phishing,3D8C01C8.6040502,alumni.rice.edu
non-phishing,E17kb3f-0002Em-00,cpu59.osdn.com
non-phishing,200210020801.g92815K31702,dogma.slashnull.org
non-phishing,A3C83F41488BD61195C3000802252FC135BCEF,dubim07742.ie.ml.com
non-phishing,200209131130.g8DBUZL24217,hobbit.linuxworks.com.au.nospam
non-phishing,200209260801.g8Q81vC06506,dogma.slashnull.org
non-phishing,00c701c25504$da88e530$8801020a,brianmay
non-phishing,20021008190633.GV11235,linuxmafia.com
non-phishing,171284997644.20021007152619,magnesium.net
non-phishing,200209240800.g8O805C26529,dogma.slashnull.org
non-phishing,E17nGG6-0004s6-00,gadolinium.btinternet.com
non-phishing,Pine.LNX.4.44.0210071231560.4199-100000,urgent.rug.ac.be
non-phishing,200210100803.g9A83lK13974,dogma.slashnull.org
non-phishing,20020823084435.D5070C44E,argote.ch
non-phishing,200210030801.g93811K19967,dogma.slashnull.org
non-phishing,B9A13131.D7F8%jamesr,best.com
non-phishing,20021003184308.GA2254,darkridge.com
non-phishing,87A8DADECEE0D411A5500050046B13A048D792,greece.local.net
non-phishing,200210100804.g9A84AK14155,dogma.slashnull.org
non-phishing,3D6BC527.28671.1437E0A,localhost
non-phishing,200210010800.g9180FK15339,dogma.slashnull.org
non-phishing,200210041809.23811.coy.krill,verizon.net
non-phishing,20020825211027.6FAFFEA0A,petting-zoo.net
non-phishing,3D6D9C61.3020108,barrera.org
non-phishing,20020903221730.D93F83F4EB,panacea.canonical.org
non-phishing,1030550822.18045.TMDA,deepeddy.vircio.com
non-phishing,20020829102444.93A1F43F99,phobos.labs.netnoteinc.com
non-phishing,20020921233935.1C7E791DD6,belphegore.hughes-family.org
non-phishing,200209300801.g8U81mg21376,dogma.slashnull.org
non-phishing,200209261527.g8QFRfg24223,dogma.slashnull.org
non-phishing,200210010801.g91811K15455,dogma.slashnull.org
non-phishing,200209250800.g8P80FC18042,dogma.slashnull.org
non-phishing,Pine.GSO.4.44.0208291229400.13748-100000,info.uah.edu
non-phishing,200209261511.g8QFBhg23724,dogma.slashnull.org
non-phishing,20021003205705.9BEC9A37B9,belphegore.hughes-family.org
non-phishing,hhvg5wkv68.fsf,hrothgar.la.mastaler.com
non-phishing,10209260905.ZM2657541,puck2.rutgers.edu
non-phishing,774F0112-D32A-11D6-8BB1-003065F62CD6,whump.com
non-phishing,DAV75xqGfT4V3PNLbos00008e1b,hotmail.com
non-phishing,1030557516.7585.53.camel,avalon
non-phishing,200210030800.g9380xK19954,dogma.slashnull.org
non-phishing,003f01c24e09$bfbd1f70$f82ceec3,mayhem
non-phishing,p05111a0bb9ad4e3edd0a,[66.149.49.6]
non-phishing,ILEHJNJFPDLMDEKNIAKCMEMPCAAA.geege,barrera.org
non-phishing,20020827162740.GA24107,canonical.org
non-phishing,1031085728.1780.11.camel,localhost.localdomain
non-phishing,Pine.LNX.4.44.0209171437060.19311-100000,plonku.snotboble.net
non-phishing,20021004043742.7FD7BA87DB,belphegore.hughes-family.org
non-phishing,200209261531.g8QFVjg25048,dogma.slashnull.org
non-phishing,200209260801.g8Q81SC06436,dogma.slashnull.org
